CustomerID,BikeBuyer
11000,1
11001,1
11003,1
11004,1
11005,0
11006,0
11007,1
11008,1
11009,0
11010,0
11011,1
11012,0
11013,1
11014,1
11015,0
11016,0
11017,0
11018,0
11019,0
11020,0
11021,0
11022,0
11023,0
11024,0
11026,0
11027,0
11028,0
11030,0
11031,0
11032,0
11033,0
11034,0
11035,0
11036,1
11037,0
11038,0
11039,0
11040,0
11041,0
11042,0
11044,0
11045,0
11046,0
11047,0
11048,0
11049,1
11051,1
11052,0
11053,0
11054,0
11055,0
11056,0
11057,1
11058,0
11059,0
11060,0
11061,0
11063,1
11064,0
11065,0
11066,0
11067,0
11068,0
11069,0
11070,0
11071,1
11072,0
11073,0
11074,0
11075,1
11076,0
11077,1
11078,1
11079,1
11080,0
11081,1
11082,0
11083,1
11084,0
11085,0
11086,0
11087,0
11088,0
11089,1
11091,0
11092,1
11093,0
11094,0
11095,0
11096,1
11097,1
11098,0
11099,0
11100,0
11101,0
11102,1
11104,1
11105,1
11107,0
11108,0
11109,1
11111,0
11112,0
11113,1
11115,1
11116,1
11118,0
11119,0
11120,0
11121,1
11122,0
11123,1
11125,1
11126,0
11127,0
11128,0
11130,0
11131,0
11132,0
11133,1
11134,0
11135,0
11136,0
11137,0
11138,0
11139,0
11140,0
11141,0
11142,0
11143,0
11144,1
11145,0
11146,0
11147,0
11148,0
11149,0
11150,0
11151,0
11152,0
11153,0
11154,0
11155,0
11156,0
11157,0
11158,0
11159,0
11160,1
11161,0
11162,1
11163,0
11164,0
11165,0
11167,1
11168,0
11169,1
11170,1
11171,0
11172,0
11173,0
11174,0
11175,1
11176,1
11178,0
11179,0
11181,0
11182,0
11183,0
11184,0
11185,0
11186,0
11187,0
11188,0
11190,0
11191,0
11193,0
11194,0
11195,0
11196,0
11197,1
11198,0
11199,0
11200,1
11201,0
11202,0
11203,0
11204,0
11205,0
11206,0
11207,0
11208,0
11210,0
11211,0
11212,0
11213,0
11215,0
11216,1
11218,0
11219,0
11220,0
11221,0
11222,1
11223,0
11224,1
11225,0
11226,0
11228,0
11229,1
11230,1
11231,0
11233,0
11234,1
11235,1
11236,1
11237,1
11238,1
11239,1
11240,1
11241,1
11242,1
11243,1
11244,1
11245,1
11246,1
11247,1
11248,0
11249,1
11250,1
11252,0
11253,0
11254,0
11255,0
11256,0
11257,0
11258,0
11259,0
11261,0
19201,0
11263,1
11264,1
11265,1
11266,0
11267,1
11268,0
11269,1
11270,1
11271,0
11272,1
11273,0
11274,0
11275,0
11276,0
11277,1
11278,1
11279,0
11279,0
11280,1
11281,1
11282,1
11283,1
11284,1
11285,1
11286,0
11287,1
11288,1
11289,0
11290,1
11292,1
11293,0
11294,0
11295,0
11296,0
11297,0
11299,0
11300,1
11302,1
11304,1
11305,1
11306,1
11307,0
11308,1
11309,1
11311,0
11312,0
11313,0
11314,0
11315,1
11316,0
11317,1
11318,0
11319,0
11321,0
19636,0
11323,1
11324,0
11325,0
11326,0
11327,0
11328,0
11329,0
11330,0
11331,0
11332,0
11333,0
11334,0
11335,0
11336,0
11337,0
11338,0
11340,0
11342,0
11343,0
11345,0
11346,0
11347,0
11348,0
11349,0
11350,0
11351,0
11352,0
11354,0
11355,0
11356,0
11357,0
11358,0
11359,0
11361,0
11362,0
11364,1
11366,0
11367,0
11368,0
11369,0
11370,0
11371,0
11372,0
11373,0
11374,0
11375,0
11376,0
11377,1
11378,1
11380,0
11381,0
11382,0
11383,0
11384,0
11386,0
11388,0
11389,0
11390,0
11391,0
11392,0
11393,0
11394,1
11395,0
11396,0
11397,0
11398,0
11399,0
11400,0
11401,0
11402,0
11403,0
11404,0
11405,0
11407,0
11408,0
11410,0
11411,1
11412,1
11413,0
11414,1
11415,1
11416,0
11417,0
11418,0
11419,1
11420,1
11421,1
11422,0
11425,1
11426,0
11427,1
11428,1
11429,0
11430,1
11431,1
11432,0
11434,1
11435,1
11436,0
11438,0
11439,0
11440,0
11441,0
11442,0
11443,0
11444,1
11445,1
11446,0
11447,0
11448,0
11449,0
11450,1
11451,1
11452,0
11453,0
11454,1
11455,1
11456,1
11457,0
11458,1
11460,0
11461,1
11462,1
11463,1
11464,1
11465,0
11466,1
11467,1
11468,1
11470,1
11471,0
11472,1
11473,0
11474,0
11475,0
11477,0
11478,0
11480,1
11481,0
11482,0
11483,1
11484,1
11486,0
11488,0
11489,0
11490,0
11491,0
11492,0
11493,0
11494,1
11495,0
18498,1
11497,0
11498,1
11499,0
11500,0
11501,1
11502,1
11503,0
11504,0
11506,1
11507,1
11509,0
